Method,Developer,Maintainability,Readability,Complexity,WCC
method1,Dev1,4,4,10,344
method1,Dev2,7,7,9,344
method1,Dev3,8,8,8,344
method1,Dev4,5,5,7,344
method1,Dev5,4,4,8,344
method2,Dev1,7,7,6,298
method2,Dev2,4,4,10,298
method2,Dev3,8,8,7,298
method2,Dev4,7,7,6,298
method2,Dev5,8,8,7,298
method3,Dev1,8,8,6,246
method3,Dev2,8,8,5,246
method3,Dev3,9,8,8,246
method3,Dev4,7,8,5,246
method3,Dev5,8,8,2,246
method4,Dev1,4,5,8,346
method4,Dev2,4,3,8,346
method4,Dev3,4,5,8,346
method4,Dev4,5,6,9,346
method4,Dev5,6,4,8,346
method5,Dev1,6,5,8,382
method5,Dev2,6,6,7,382
method5,Dev3,5,5,7,382
method5,Dev4,4,4,6,382
method5,Dev5,6,6,7,382
method6,Dev1,7,7,8,291
method6,Dev2,7,7,8,291
method6,Dev3,6,7,5,291
method6,Dev4,7,8,6,291
method6,Dev5,8,9,7,291
method7,Dev1,10,7,4,191
method7,Dev2,8,8,4,191
method7,Dev3,7,7,5,191
method7,Dev4,8,9,4,191
method7,Dev5,8,9,5,191
method8,Dev1,9,9,4,205
method8,Dev2,8,7,7,205
method8,Dev3,8,8,5,205
method8,Dev4,10,7,2,205
method8,Dev5,9,9,5,205
method9,Dev1,8,7,3,101
method9,Dev2,7,8,4,101
method9,Dev3,8,7,2,101
method9,Dev4,9,9,4,101
method9,Dev5,8,8,3,101
method10,Dev1,7,7,6,293
method10,Dev2,6,6,8,293
method10,Dev3,8,8,9,293
method10,Dev4,7,7,7,293
method10,Dev5,8,8,10,293
