Method,Developer,Maintainability,Readability,Complexity,WCC
method1,Dev1,7.115547029071986,6.994048256776438,4.741761559240479,148
method1,Dev2,6.9530930257449475,3.901951277778469,5.9089577203883685,148
method1,Dev3,7.095691607604841,6.84747987411247,3.9638415235996804,148
method1,Dev4,8.335189785723648,5.082221394307092,5.915696038976078,148
method1,Dev5,6.00471930118013,4.19813561891589,5.956035188930632,148
method2,Dev1,2.999736614565974,2.2064585666639664,8.06910332351545,186
method2,Dev2,5.273881686940347,3.9264657904159983,7.456197821017475,186
method2,Dev3,6.1380263270380215,5.946886415471349,9.073287299024013,186
method2,Dev4,2.922668294383188,4.079130205816851,6.028036358847805,186
method2,Dev5,3.157289265073311,2.1913867296361635,8.012238819026065,186
method3,Dev1,6.883357749545243,7.80822659166599,2.5930748722995682,155
method3,Dev2,4.897571100452758,4.961542510894775,4.971410737231643,155
method3,Dev3,4.993075705612906,5.781744515695846,6.024144155566507,155
method3,Dev4,6.557533619864406,3.8839207808081304,2.3969844102641673,155
method3,Dev5,6.6956427246171035,5.152887116239784,4.875281915418124,155
method4,Dev1,3.9553544955803464,5.286325372830845,3.032195092004674,150
method4,Dev2,7.7938332698540975,6.983862387198671,5.94241609004223,150
method4,Dev3,8.113026111413655,8.142272677697427,4.7819767591058575,150
method4,Dev4,4.836476986148139,6.129468345735278,2.1831633591269437,150
method4,Dev5,7.685283272002685,3.9085727007133144,2.0797714214705905,150
method5,Dev1,9.31119953405973,10.0,1.231488827854687,100
method5,Dev2,8.031746568225993,10.0,1.0,100
method5,Dev3,10.0,10.0,1.2839352724216164,100
method5,Dev4,9.793282545548008,10.0,1.648392378130871,100
method5,Dev5,9.760136199890475,9.505393833872064,2.090152282533795,100
method6,Dev1,10.0,9.273903282165545,1.443637254647489,105
method6,Dev2,6.774153637927448,9.967882597391098,1.744343056102747,105
method6,Dev3,10.0,9.911883643426686,1.9055253549967297,105
method6,Dev4,9.884460300843015,10.0,1.0,105
method6,Dev5,6.8422828043113,8.577312434374011,1.0,105
method7,Dev1,1.0,2.8785324508791907,8.659781983175304,189
method7,Dev2,1.3883112654773746,4.074850663042651,7.106326504186653,189
method7,Dev3,1.0711952572894887,2.242463623261998,8.786864396017883,189
method7,Dev4,3.7625443032951376,1.9200255778770294,5.041832939679241,189
method7,Dev5,3.1240843022759783,4.792330067709672,5.857242398758399,189
method8,Dev1,1.0,1.0,10.0,229
method8,Dev2,1.0875428248860548,3.1439177589236027,7.85379252128299,229
method8,Dev3,1.0,2.0496471461216528,9.837604190564878,229
method8,Dev4,1.0,1.9347238201150756,9.096294141029013,229
method8,Dev5,1.0650356188294925,2.041110270800974,8.763670198506665,229
method9,Dev1,5.152547193466484,6.030788506599816,3.082415315920596,162
method9,Dev2,7.082705905764639,6.2590861358206995,4.2699969649159835,162
method9,Dev3,3.9417676888284836,4.779215219496469,6.672720938968343,162
method9,Dev4,3.9233961535522544,3.9436992636070616,4.021871586926997,162
method9,Dev5,2.6846901942699066,5.9345725090859895,5.978050459331313,162
method10,Dev1,6.782855410914452,9.746388153962442,1.1203723639357266,102
method10,Dev2,9.92267825966127,8.997376519869011,1.0,102
method10,Dev3,8.224477208852777,9.986188223781763,1.0,102
method10,Dev4,10.0,9.027119769609335,1.1215692276018026,102
method10,Dev5,7.635662612258695,8.96793180698663,2.9712449268785006,102
