file_name,direct_instantiations,static_method_calls,static_variable_usage,interface_implementations,injection_initiations,cbo_label
File0.cs,1,2,1,1.0,2.0,0
File1.cs,0,2,3,0.5,0.5,0
File2.cs,4,2,1,0.5,1.5,1
File3.cs,0,0,1,1.0,0.5,0
File4.cs,2,3,1,1.5,2.0,0
File5.cs,4,5,4,0.5,1.0,1
File6.cs,0,2,3,1.0,1.0,0
File7.cs,5,3,0,1.0,1.5,1
File8.cs,5,2,0,0.5,0.5,1
File9.cs,2,5,3,1.5,1.0,1
File10.cs,2,2,0,1.5,1.0,0
File11.cs,4,5,2,1.0,2.0,1
File12.cs,0,4,0,0.5,2.0,1
File13.cs,0,0,0,1.0,0.5,0
File14.cs,4,1,1,1.5,1.0,1
File15.cs,2,4,2,1.0,1.0,1
File16.cs,5,5,4,1.5,0.5,1
File17.cs,4,0,1,1.5,1.0,1
File18.cs,3,5,4,1.5,1.5,1
File19.cs,4,4,3,1.0,0.5,1
File20.cs,0,1,3,0.5,1.5,0
File21.cs,3,1,2,1.5,0.5,0
File22.cs,3,1,1,1.5,1.0,0
File23.cs,2,5,5,0.5,2.0,1
File24.cs,0,5,4,1.0,1.5,1
File25.cs,5,2,5,1.5,1.5,1
File26.cs,4,4,0,0.5,2.0,1
File27.cs,1,0,2,1.0,1.0,0
File28.cs,1,2,3,0.5,0.5,0
File29.cs,1,2,3,0.5,2.0,0
File30.cs,4,5,2,1.0,1.0,1
File31.cs,4,4,0,0.5,1.0,1
File32.cs,0,3,1,1.5,2.0,0
File33.cs,4,2,4,0.5,0.5,1
File34.cs,3,0,2,0.5,0.5,0
File35.cs,3,3,5,1.0,0.5,1
File36.cs,2,3,1,1.0,1.0,0
File37.cs,0,5,5,0.5,1.0,1
File38.cs,1,0,1,0.5,2.0,0
File39.cs,3,4,2,1.0,1.0,1
File40.cs,0,3,4,1.0,0.5,1
File41.cs,1,0,3,0.5,1.0,0
File42.cs,4,2,1,1.5,1.5,1
File43.cs,2,0,2,0.5,1.5,0
File44.cs,5,4,2,1.0,1.5,1
File45.cs,5,0,3,1.5,0.5,1
File46.cs,2,5,1,0.5,2.0,1
File47.cs,2,0,0,1.0,1.0,0
File48.cs,5,2,0,1.0,0.5,1
File49.cs,3,0,2,1.5,1.0,0
File50.cs,2,3,0,0.5,1.5,0
File51.cs,5,0,5,1.5,0.5,1
File52.cs,5,0,0,1.0,1.5,1
File53.cs,3,5,3,1.0,0.5,1
File54.cs,1,0,4,1.0,2.0,1
File55.cs,2,1,0,1.5,2.0,0
File56.cs,0,1,2,1.0,1.5,0
File57.cs,1,2,0,0.5,1.0,0
File58.cs,2,0,2,1.5,1.0,0
File59.cs,4,4,5,1.0,1.0,1
File60.cs,0,2,3,1.5,0.5,0
File61.cs,5,0,3,1.5,2.0,1
File62.cs,2,4,0,0.5,1.5,1
File63.cs,0,2,1,0.5,1.5,0
File64.cs,5,4,0,0.5,1.0,1
File65.cs,2,0,3,1.5,0.5,0
File66.cs,5,0,3,1.0,2.0,1
File67.cs,5,0,5,1.5,2.0,1
File68.cs,5,1,4,1.0,0.5,1
File69.cs,5,5,1,0.5,1.5,1
File70.cs,1,0,0,1.0,2.0,0
File71.cs,1,0,3,1.5,2.0,0
File72.cs,3,3,1,1.0,1.5,0
File73.cs,0,0,0,1.5,1.0,0
File74.cs,4,0,3,1.0,2.0,1
File75.cs,3,5,5,0.5,1.0,1
File76.cs,0,4,0,1.5,1.0,1
File77.cs,2,2,2,1.0,1.5,0
File78.cs,0,2,3,1.0,2.0,0
File79.cs,0,1,1,1.0,1.0,0
File80.cs,0,4,1,1.5,1.0,1
File81.cs,2,4,3,1.0,1.5,1
File82.cs,0,5,0,1.5,2.0,1
File83.cs,2,4,5,1.5,1.5,1
File84.cs,5,3,5,0.5,2.0,1
File85.cs,3,5,0,1.5,2.0,1
File86.cs,4,0,3,0.5,1.5,1
File87.cs,4,2,3,1.0,1.5,1
File88.cs,0,5,3,0.5,0.5,1
File89.cs,0,3,2,1.0,0.5,0
File90.cs,3,2,1,1.5,1.5,0
File91.cs,1,4,1,1.5,0.5,1
File92.cs,5,3,0,0.5,1.0,1
File93.cs,1,4,2,0.5,0.5,1
File94.cs,4,1,2,1.5,2.0,1
File95.cs,5,4,3,1.0,2.0,1
File96.cs,3,5,1,1.0,1.5,1
File97.cs,1,1,3,1.5,2.0,0
File98.cs,4,0,1,1.5,1.5,1
File99.cs,4,0,2,0.5,1.0,1
File100.cs,1,3,3,1.0,0.5,0
File101.cs,5,5,4,0.5,2.0,1
File102.cs,5,4,4,1.5,0.5,1
File103.cs,2,3,4,0.5,1.5,1
File104.cs,1,0,2,1.0,2.0,0
File105.cs,5,2,5,1.0,2.0,1
File106.cs,5,2,3,0.5,1.5,1
File107.cs,2,0,0,0.5,2.0,0
File108.cs,1,0,2,1.0,2.0,0
File109.cs,0,4,3,1.0,1.5,1
File110.cs,3,2,3,1.5,1.0,0
File111.cs,2,0,2,0.5,2.0,0
File112.cs,4,4,5,1.0,0.5,1
File113.cs,2,4,3,1.0,1.5,1
File114.cs,4,4,5,1.0,0.5,1
File115.cs,4,2,3,1.0,2.0,1
File116.cs,3,4,4,0.5,1.0,1
File117.cs,4,1,5,1.0,0.5,1
File118.cs,5,1,3,1.5,1.0,1
File119.cs,0,1,5,1.0,1.0,1
File120.cs,2,5,5,0.5,1.0,1
File121.cs,5,2,0,0.5,1.5,1
File122.cs,3,3,2,1.5,0.5,0
