Method,Developer,Maintainability,Readability,Complexity,WCC
method1,Dev1,6.8604651162790695,6.8604651162790695,6.8604651162790695,148
method1,Dev2,6.8604651162790695,6.8604651162790695,6.8604651162790695,148
method1,Dev3,6.8604651162790695,6.8604651162790695,6.8604651162790695,148
method1,Dev4,6.8604651162790695,6.8604651162790695,6.8604651162790695,148
method1,Dev5,6.8604651162790695,6.8604651162790695,6.8604651162790695,148
method2,Dev1,8.333333333333334,8.333333333333334,8.333333333333334,186
method2,Dev2,8.333333333333334,8.333333333333334,8.333333333333334,186
method2,Dev3,8.333333333333334,8.333333333333334,8.333333333333334,186
method2,Dev4,8.333333333333334,8.333333333333334,8.333333333333334,186
method2,Dev5,8.333333333333334,8.333333333333334,8.333333333333334,186
method3,Dev1,7.131782945736434,7.131782945736434,7.131782945736434,155
method3,Dev2,7.131782945736434,7.131782945736434,7.131782945736434,155
method3,Dev3,7.131782945736434,7.131782945736434,7.131782945736434,155
method3,Dev4,7.131782945736434,7.131782945736434,7.131782945736434,155
method3,Dev5,7.131782945736434,7.131782945736434,7.131782945736434,155
method4,Dev1,6.937984496124031,6.937984496124031,6.937984496124031,150
method4,Dev2,6.937984496124031,6.937984496124031,6.937984496124031,150
method4,Dev3,6.937984496124031,6.937984496124031,6.937984496124031,150
method4,Dev4,6.937984496124031,6.937984496124031,6.937984496124031,150
method4,Dev5,6.937984496124031,6.937984496124031,6.937984496124031,150
method5,Dev1,5.0,5.0,5.0,100
method5,Dev2,5.0,5.0,5.0,100
method5,Dev3,5.0,5.0,5.0,100
method5,Dev4,5.0,5.0,5.0,100
method5,Dev5,5.0,5.0,5.0,100
method6,Dev1,5.1937984496124034,5.1937984496124034,5.1937984496124034,105
method6,Dev2,5.1937984496124034,5.1937984496124034,5.1937984496124034,105
method6,Dev3,5.1937984496124034,5.1937984496124034,5.1937984496124034,105
method6,Dev4,5.1937984496124034,5.1937984496124034,5.1937984496124034,105
method6,Dev5,5.1937984496124034,5.1937984496124034,5.1937984496124034,105
method7,Dev1,8.449612403100776,8.449612403100776,8.449612403100776,189
method7,Dev2,8.449612403100776,8.449612403100776,8.449612403100776,189
method7,Dev3,8.449612403100776,8.449612403100776,8.449612403100776,189
method7,Dev4,8.449612403100776,8.449612403100776,8.449612403100776,189
method7,Dev5,8.449612403100776,8.449612403100776,8.449612403100776,189
method8,Dev1,10.0,10.0,10.0,229
method8,Dev2,10.0,10.0,10.0,229
method8,Dev3,10.0,10.0,10.0,229
method8,Dev4,10.0,10.0,10.0,229
method8,Dev5,10.0,10.0,10.0,229
method9,Dev1,7.403100775193798,7.403100775193798,7.403100775193798,162
method9,Dev2,7.403100775193798,7.403100775193798,7.403100775193798,162
method9,Dev3,7.403100775193798,7.403100775193798,7.403100775193798,162
method9,Dev4,7.403100775193798,7.403100775193798,7.403100775193798,162
method9,Dev5,7.403100775193798,7.403100775193798,7.403100775193798,162
method10,Dev1,5.077519379844961,5.077519379844961,5.077519379844961,102
method10,Dev2,5.077519379844961,5.077519379844961,5.077519379844961,102
method10,Dev3,5.077519379844961,5.077519379844961,5.077519379844961,102
method10,Dev4,5.077519379844961,5.077519379844961,5.077519379844961,102
method10,Dev5,5.077519379844961,5.077519379844961,5.077519379844961,102
