Method,Developer,Maintainability,Readability,Complexity,WCC
method1,Dev1,7.048612595409219,6.7876943886924375,5.074507122951685,148
method1,Dev2,6.942237657937552,3.936903201585196,5.979260354824322,148
method1,Dev3,6.898461699954106,6.948592822520985,4.097153280715103,148
method1,Dev4,8.09175144332613,4.879658409616757,6.228454478461204,148
method1,Dev5,6.1546499283743925,3.9758071432500985,5.9648769937915,148
method2,Dev1,3.13969201786743,2.0606076285221806,7.964879456457623,186
method2,Dev2,4.874117371516604,4.2829278851815795,7.236881922326108,186
method2,Dev3,5.953618143622318,6.026186671924776,9.115115209372936,186
method2,Dev4,3.0496895147105345,4.038632558608414,5.929578842109757,186
method2,Dev5,3.146331769068354,1.9888331126350751,8.081384006537894,186
method3,Dev1,6.928123864323206,7.712184317705144,2.9304873460781304,155
method3,Dev2,4.972151153500428,4.996022918682617,4.930140536964461,155
method3,Dev3,4.834049753899096,6.009034531491154,6.036294340734905,155
method3,Dev4,6.820569006387899,4.369486316872793,1.7130079633013302,155
method3,Dev5,7.12187887335913,4.971145855282832,4.741262325123046,155
method4,Dev1,4.203436004285623,5.0452321013500425,2.915656870613854,150
method4,Dev2,7.9891984817629496,6.994793234544213,5.848075331949836,150
method4,Dev3,8.150529934683803,7.82469829435707,5.047137099889291,150
method4,Dev4,5.054245403757145,6.171423422177253,1.8637963886718185,150
method4,Dev5,7.903232036809231,4.1127899549030165,1.7881544447997064,150
method5,Dev1,9.054209340826262,10.118654792056455,1.219847315338233,100
method5,Dev2,8.230705484969896,9.86359188178079,0.9661335549270197,100
method5,Dev3,9.994626094133507,10.210419146640414,1.0101292307031888,100
method5,Dev4,10.234696548372101,9.789722340581156,1.7862877720679815,100
method5,Dev5,9.607038234386538,10.08802856407004,1.9183425913212226,100
method6,Dev1,10.123285375656284,9.328568343871499,1.0166383884564798,105
method6,Dev2,7.013057060235726,9.851419551230395,1.8273509633866545,105
method6,Dev3,9.955148897430119,9.915055340559581,2.056354702751851,105
method6,Dev4,10.013764116480326,10.014947704763147,0.9099041965121792,105
method6,Dev5,6.701864662809866,8.92447865188257,0.9562459375310085,105
method7,Dev1,0.9670492168243733,2.7674004853400795,8.90974400816559,189
method7,Dev2,1.0535668857267617,4.010284446220904,7.277841727676341,189
method7,Dev3,1.2216841067112272,1.8406544429410843,8.997975416289309,189
method7,Dev4,3.922259467258953,2.0710388645952773,4.841343360656615,189
method7,Dev5,2.8787259595660215,4.86208636486493,6.123381736815478,189
method8,Dev1,0.9247364434623195,1.2324901607526308,9.816873452504346,229
method8,Dev2,1.137310317655311,2.882512006149564,8.031329539250713,229
method8,Dev3,1.0493126664489527,1.9516907725691484,9.706049481418034,229
method8,Dev4,0.9205359694349441,2.12202758260545,8.800772092665236,229
method8,Dev5,1.0769901149670034,1.815370352534907,9.029529185380369,229
method9,Dev1,5.014561632402206,6.0341189901906205,3.1107699869993115,162
method9,Dev2,7.145296748579933,6.196071413142365,4.025705242178495,162
method9,Dev3,3.8946920359183967,4.758877514815816,6.982652757641764,162
method9,Dev4,3.9508506780103354,4.027695078779846,3.954834445661607,162
method9,Dev5,2.9411837770301763,6.038982419137263,5.778221701444886,162
method10,Dev1,6.780472757780182,10.117273430766597,0.8920233687407937,102
method10,Dev2,10.044418041559686,8.814457393368286,0.930904184356032,102
method10,Dev3,8.039158290826984,9.801931508037358,1.1585683339328374,102
method10,Dev4,10.00076701849637,9.078291234842533,1.051542743435269,102
method10,Dev5,7.964811929993727,9.04454770098498,2.73554397669559,102
