Method,Developer,Maintainability,Readability,Complexity,WCC
method1,Dev1,7.041039906120301,6.92231824783892,5.057220134555596,148.0761514928204
method1,Dev2,6.969038217243018,3.967260886014273,6.072047425716811,148.03837173645763
method1,Dev3,6.942680180687955,7.00999227635296,4.009213542264411,147.97671351232148
method1,Dev4,8.042681928020345,4.864222124306029,5.98990560119475,147.97188562353796
method1,Dev5,6.000908420108076,4.007648081046463,5.942891127487773,147.92938481493323
method2,Dev1,3.1198464444018876,2.0089137278164,7.991669562386937,185.92876259068933
method2,Dev2,4.930819987612609,4.0998554245460195,7.021410961904254,186.0187849009173
method2,Dev3,5.954507446711499,5.9941442031519285,9.008286405846174,186.09261390922543
method2,Dev4,3.0158883103332816,3.9599919730883433,6.017653526308412,185.93895781750146
method2,Dev5,3.0592204361063557,1.898294198017703,7.960718699734376,186.00984306179345
method3,Dev1,7.012964617107506,7.912629853294546,2.9710467012399646,154.98494481522053
method3,Dev2,4.916790951648438,4.9626820958078035,4.953681573773498,155.05285611131094
method3,Dev3,4.961864165778122,5.914859502728915,6.028302312048041,154.9807458859792
method3,Dev4,6.9063435687806685,4.153745920066308,1.9558859638919075,155.04656400595582
method3,Dev5,6.9986654149585785,4.974921332968384,4.930317279944527,155.04877725635612
method4,Dev1,4.043853289536276,5.00579441828349,2.91656887483765,149.94018966879597
method4,Dev2,8.037025785040692,7.0660764129432785,5.945757937904262,150.0501766448946
method4,Dev3,8.068258446146983,7.909310110388767,5.033782146905184,150.0769018283233
method4,Dev4,5.0162904992968835,6.135373323516451,1.8236115410194522,150.04109512521876
method4,Dev5,7.972096365681653,4.022646284111046,1.9339728537600107,149.90062155426995
method5,Dev1,9.007086185883544,10.057407225927738,1.1471771406831532,99.97408648908632
method5,Dev2,8.03647714817864,9.929442775081036,1.034481290860777,100.01643755548298
method5,Dev3,9.97172068785615,10.095803087202471,1.0082302877017986,100.04843224952664
method5,Dev4,10.043129528096832,9.913524339530495,1.9091571830327192,99.92682425259339
method5,Dev5,9.88381875864874,10.042395618299008,1.973036536605864,99.98827064333125
method6,Dev1,9.970326588116242,9.088490515152232,0.9884104036591548,104.95988613653891
method6,Dev2,6.996288067828608,9.97067572658419,2.0367596161894115,105.00872889064159
method6,Dev3,9.997927152012844,9.96796281773155,1.922846340152332,104.99867430622754
method6,Dev4,10.007599549323828,10.128144673878646,0.9603500172650037,105.01507736711667
method6,Dev5,6.898885965784693,8.916392315413214,1.0425564532360871,105.03759665163435
method7,Dev1,1.0285680029602768,2.876997455706956,9.040054384935335,188.9299074468604
method7,Dev2,1.0471984832656005,4.1129509300308005,7.043087092968912,188.97168511351987
method7,Dev3,1.0788772704914575,1.9217110316078847,8.921791967209796,189.0034281487403
method7,Dev4,3.9209713034000124,2.047359243063518,4.901143241840515,189.07749672025088
method7,Dev5,2.9204126552385286,4.937925712478027,6.081803106473643,188.9384567841783
method8,Dev1,0.9862851445509796,1.1428538579649983,9.858583655773387,229.00923169292662
method8,Dev2,1.0587642455975248,2.9999284789720537,7.948595644206334,228.93397716934578
method8,Dev3,1.0425346337638293,1.9987461578513752,9.914541136323306,229.01732241047486
method8,Dev4,0.9395107537327234,2.0522885457265336,8.948244321220013,228.9642824290987
method8,Dev5,1.1189520972129057,1.9621484302238918,8.950277886933323,229.0328276804317
method9,Dev1,4.956119793956035,6.0507272269173304,3.0948531079501405,161.9589658840824
method9,Dev2,7.09660105598886,6.085996184060947,4.049671422059222,162.0948396491327
method9,Dev3,3.9526279395059882,4.881939030054064,6.9497418643993125,161.95920948575173
method9,Dev4,3.9797618071994068,4.026289291667448,3.998779355187037,162.0413591624518
method9,Dev5,2.9810446869372873,6.085670843570287,5.912841058819731,162.13600845832948
method10,Dev1,6.958107619981645,9.996233265768051,0.910463164677209,102.02412362076215
method10,Dev2,10.003632874586936,8.9738524891607,1.000629942680688,101.99635855436716
method10,Dev3,7.970713077705574,9.858234808111492,1.0305303637075947,102.04281993971617
method10,Dev4,10.010960360038634,8.963810139345243,1.025839960770982,102.01926586898644
method10,Dev5,7.944077771521185,9.022535488958937,2.914758428154163,101.94285148510846
