Method,Developer,Maintainability,Readability,Complexity,WCC
method1,Dev1,6,6,4,148
method1,Dev2,7,7,3,148
method1,Dev3,9,7,5,148
method1,Dev4,4,5,6,148
method1,Dev5,7,7,5,148
method2,Dev1,1,3,8,186
method2,Dev2,1,2,7,186
method2,Dev3,2,1,9,186
method2,Dev4,2,2,9,186
method2,Dev5,1,2,9,186
method3,Dev1,5,2,7,155
method3,Dev2,5,4,7,155
method3,Dev3,4,5,7,155
method3,Dev4,2,5,7,155
method3,Dev5,3,3,8,155
method4,Dev1,2,4,6,150
method4,Dev2,2,4,7,150
method4,Dev3,3,4,7,150
method4,Dev4,5,2,7,150
method4,Dev5,2,5,6,150
method5,Dev1,4,7,5,100
method5,Dev2,7,7,4,100
method5,Dev3,4,7,5,100
method5,Dev4,7,7,5,100
method5,Dev5,5,4,4,100
method6,Dev1,4,6,5,105
method6,Dev2,7,5,5,105
method6,Dev3,6,5,5,105
method6,Dev4,4,5,5,105
method6,Dev5,5,4,5,105
method7,Dev1,1,2,7,189
method7,Dev2,4,1,9,189
method7,Dev3,1,2,9,189
method7,Dev4,1,1,9,189
method7,Dev5,1,3,8,189
method8,Dev1,1,1,10,229
method8,Dev2,1,1,10,229
method8,Dev3,1,1,9,229
method8,Dev4,1,1,9,229
method8,Dev5,1,2,10,229
method9,Dev1,3,3,7,162
method9,Dev2,4,2,7,162
method9,Dev3,4,2,7,162
method9,Dev4,2,1,6,162
method9,Dev5,5,1,7,162
method10,Dev1,5,7,5,102
method10,Dev2,4,7,5,102
method10,Dev3,6,7,4,102
method10,Dev4,5,6,5,102
method10,Dev5,6,5,4,102
