Method,Developer,Maintainability,Readability,Complexity,WCC
method1,Dev1,2,3,9,344
method1,Dev2,5,5,10,344
method1,Dev3,2,2,9,344
method1,Dev4,2,3,10,344
method1,Dev5,2,3,8,344
method2,Dev1,2,5,7,298
method2,Dev2,3,3,8,298
method2,Dev3,6,6,9,298
method2,Dev4,4,4,7,298
method2,Dev5,3,2,7,298
method3,Dev1,4,4,6,246
method3,Dev2,5,5,5,246
method3,Dev3,6,6,6,246
method3,Dev4,7,7,3,246
method3,Dev5,7,5,6,246
method4,Dev1,3,5,10,346
method4,Dev2,6,6,9,346
method4,Dev3,6,6,8,346
method4,Dev4,5,5,8,346
method4,Dev5,5,3,10,346
method5,Dev1,5,5,9,382
method5,Dev2,8,8,7,382
method5,Dev3,7,7,7,382
method5,Dev4,3,5,8,382
method5,Dev5,4,4,7,382
method6,Dev1,2,7,5,291
method6,Dev2,7,7,5,291
method6,Dev3,3,3,7,291
method6,Dev4,2,2,7,291
method6,Dev5,5,3,7,291
method7,Dev1,7,7,4,191
method7,Dev2,6,6,3,191
method7,Dev3,6,6,6,191
method7,Dev4,6,6,5,191
method7,Dev5,3,3,3,191
method8,Dev1,2,5,5,205
method8,Dev2,8,8,5,205
method8,Dev3,8,8,6,205
method8,Dev4,7,7,2,205
method8,Dev5,6,6,2,205
method9,Dev1,7,7,4,121
method9,Dev2,8,7,4,121
method9,Dev3,8,8,4,121
method9,Dev4,7,7,3,121
method9,Dev5,7,5,5,121
method10,Dev1,7,5,8,293
method10,Dev2,7,2,7,293
method10,Dev3,2,3,7,293
method10,Dev4,4,2,7,293
method10,Dev5,2,3,8,293
