file_name,class_dependencies,direct_instantiations,static_method_calls,static_variable_usage,interface_implementations,constructor_injections,setter_injections,global_variable_references,cbo_label
Example1.cs,3,2,0,0,0,0,0,0,1
Example2.cs,3,1,0,0,0,1,0,0,1
Example3.cs,2,0,1,0,0,0,0,0,0
Example4.cs,2,0,1,0,0,0,0,0,0
Example5.cs,1,0,0,0,0,0,0,0,0
Example6.cs,1,0,0,0,0,0,0,0,0
Example7.cs,2,1,0,0,0,0,0,0,0
Example8.cs,1,0,0,0,0,0,0,0,0
Example9.cs,2,1,0,0,0,0,0,0,0
Example10.cs,1,0,0,0,0,0,0,0,0
Example11.cs,2,0,0,0,0,1,0,0,0
Example12.cs,2,0,0,0,0,1,0,0,0
Example13.cs,2,1,0,0,0,0,0,0,0
Example14.cs,1,0,0,0,0,0,0,0,0
Example15.cs,1,0,0,0,0,0,0,0,0
Example16.cs,2,1,0,0,0,0,0,0,0
Example17.cs,1,0,0,0,0,0,0,0,0
Example18.cs,2,1,0,0,0,0,0,0,0
Example19.cs,2,0,0,0,0,1,0,0,0
Example20.cs,2,0,0,0,0,1,0,0,0
Example21.cs,2,1,0,0,0,0,0,0,0
Example22.cs,2,0,0,0,0,1,0,0,0
Example23.cs,2,1,0,0,0,0,0,0,0
Example24.cs,1,0,0,0,0,0,0,0,0
Example25.cs,2,1,0,0,0,0,0,0,0
Example26.cs,2,0,0,0,0,1,0,0,0
Example27.cs,2,0,0,0,0,1,0,0,0
Example28.cs,2,1,0,0,0,0,0,0,0
Example29.cs,2,0,0,0,0,1,0,0,0
Example30.cs,1,0,0,0,0,0,0,0,0
Example31.cs,2,0,0,0,0,1,0,0,0
Example32.cs,2,1,0,0,0,0,0,0,0
Example33.cs,2,0,0,0,0,1,0,0,0
Example34.cs,2,1,0,0,0,0,0,0,0
Example35.cs,2,0,0,0,0,1,0,0,0
Example36.cs,2,1,0,0,0,0,0,0,0
Example37.cs,2,0,0,0,0,1,0,0,0
Example38.cs,2,0,0,0,0,1,0,0,0
Example39.cs,1,0,0,0,0,0,0,0,0
Example40.cs,1,0,0,0,0,0,0,0,0
Example41.cs,2,1,0,0,0,0,0,0,0
Example42.cs,2,0,0,0,0,1,0,0,0
Example43.cs,1,0,0,0,0,0,0,0,0
Example44.cs,2,0,0,0,0,1,0,0,0
Example45.cs,2,1,0,0,0,0,0,0,0
Example46.cs,2,0,0,0,0,1,0,0,0
Example47.cs,1,0,0,0,0,0,0,0,0
Example48.cs,2,0,0,0,0,1,0,0,0
Example49.cs,2,1,0,0,0,0,0,0,0
Example50.cs,2,0,0,0,0,1,0,0,0
Example51.cs,1,0,0,0,0,0,0,0,0
Example52.cs,2,1,0,0,0,0,0,0,0
Example53.cs,2,0,0,0,0,1,0,0,0
Example54.cs,2,1,0,0,0,0,0,0,0
Example55.cs,2,0,0,0,0,1,0,0,0
Example56.cs,1,0,0,0,0,0,0,0,0
Example57.cs,2,0,0,0,0,1,0,0,0
Example58.cs,2,1,0,0,0,0,0,0,0
Example59.cs,1,0,0,0,0,0,0,0,0
Example60.cs,2,0,0,0,0,1,0,0,0
Example61.cs,2,1,0,0,0,0,0,0,0
Example62.cs,2,0,0,0,0,1,0,0,0
Example63.cs,2,1,0,0,0,0,0,0,0
Example64.cs,2,0,0,0,0,1,0,0,0
