file_name,direct_instantiations,static_method_calls,static_variable_usage,interface_implementations,injection_initiations,cbo_label
Test.cs,0,0,0,0.0,0.0,0
ExampleClass.cs,1,1,0,0.0,0.0,0
ExampleClass.cs,1,1,0,0.0,1.0,0
OrderService.cs,2,1,0,0.0,2.0,0
OrderService.cs,2,1,0,0.0,1.0,0
MyMiddleware.cs,0,0,0,0.0,1.5,0
OrderManager.cs,4,1,0,0.0,1.0,1
OrderServiceee.cs,3,0,0,0.0,0.0,0
OrderServicerrrr.cs,1,0,0,1.0,1.0,0
UserServiceee.cs,2,0,0,0.5,1.0,0
UserManager.cs,2,0,0,0.0,1.5,0
UserManager.cs,4,0,0,0.0,1.5,1
PaymentProcessor.cs,0,0,0,0.0,0.0,0
FileLogger.cs,0,0,0,0.0,0.5,0
EmailService.cs,0,0,0,0.0,0.0,0
OrderProcessor.cs,0,0,0,0.0,1.0,0
UserManager.cs,0,0,0,0.0,0.0,0
ExceptionHandlingExample.cs,0,0,0,0.0,0.0,0
