file_name,class_dependencies,direct_instantiations,static_method_calls,static_variable_usage,interface_implementations,constructor_injections,setter_injections,global_variable_references,cbo_label
Example1.java,7,0,3,2,0,1,2,0,0
Example2.java,4,3,4,0,1,0,2,2,1
Example3.java,4,0,2,1,1,2,0,1,1
Example4.java,1,4,4,3,2,0,0,2,1
Example5.java,1,4,0,0,2,1,0,1,1
Example6.java,9,1,2,2,2,1,0,0,1
Example7.java,5,0,0,0,1,2,0,0,0
Example8.java,8,0,4,2,0,1,2,2,1
Example9.java,4,4,0,0,0,0,1,1,1
Example10.java,1,0,4,0,2,0,2,2,1
Example11.java,2,2,1,3,2,2,2,0,0
Example12.java,9,2,1,3,2,1,2,0,0
Example13.java,4,0,4,1,0,1,2,1,0
Example14.java,1,1,4,3,2,0,1,2,1
Example15.java,8,0,1,1,1,0,1,1,1
Example16.java,9,2,2,0,2,2,0,1,1
Example17.java,5,1,4,3,0,0,2,1,1
Example18.java,3,2,0,0,0,1,1,2,1
Example19.java,5,0,0,2,1,0,1,0,1
Example20.java,8,2,0,0,1,1,2,1,0
Example21.java,4,4,0,2,0,0,0,1,1
Example22.java,3,0,2,3,2,0,1,1,0
Example23.java,8,2,2,1,0,0,1,0,0
Example24.java,1,2,4,1,2,0,1,1,0
Example25.java,5,4,0,1,0,1,0,2,0
Example26.java,5,4,4,1,0,1,2,0,0
Example27.java,6,0,4,3,1,2,1,0,1
Example28.java,5,1,4,2,0,1,0,1,1
Example29.java,9,0,3,1,1,1,2,2,1
Example30.java,7,3,1,2,2,1,1,2,0
Example31.java,7,4,2,3,0,0,2,0,1
Example32.java,2,3,1,0,0,0,2,1,0
Example33.java,5,2,4,2,2,1,2,0,1
Example34.java,2,3,2,1,1,2,1,2,1
Example35.java,9,0,4,2,0,0,0,0,0
Example36.java,3,2,0,1,0,1,1,1,1
Example37.java,2,4,4,2,0,1,0,1,1
Example38.java,1,3,0,1,1,0,2,2,0
Example39.java,4,2,0,3,0,1,2,0,1
Example40.java,3,1,1,0,1,0,1,2,1
Example41.java,9,4,2,3,2,1,1,1,1
Example42.java,9,3,3,0,0,2,0,2,1
Example43.java,2,0,0,3,2,1,2,2,0
Example44.java,3,2,2,2,0,1,1,2,1
