Method,Developer,Maintainability,Readability,Complexity,WCC
method1,Dev1,4.5,4.2,5,100
method1,Dev2,4.7,4.1,5.3,100
method1,Dev3,4.4,4.3,5.1,100
method1,Dev4,4.6,4.2,5,100
method1,Dev5,4.5,4,5.2,100
method2,Dev1,3,3.5,3,87
method2,Dev2,3.1,3.6,3.1,87
method2,Dev3,3.2,3.4,3.2,87
method2,Dev4,2.9,3.5,3,87
method2,Dev5,3,3.5,3.1,87
method3,Dev1,2.5,3,2.8,76
method3,Dev2,2.4,3.1,2.9,76
method3,Dev3,2.6,2.9,2.7,76
method3,Dev4,2.5,3,2.8,76
method3,Dev5,2.5,3,2.9,76
method4,Dev1,4,4.5,3.9,89
method4,Dev2,4.2,4.3,4.1,89
method4,Dev3,3.9,4.4,4,89
method4,Dev4,4.1,4.2,3.8,89
method4,Dev5,4,4.5,3.9,89
method5,Dev1,3.5,3.2,4.3,67
method5,Dev2,3.6,3.1,4.5,67
method5,Dev3,3.4,3.3,4.2,67
method5,Dev4,3.5,3.2,4.3,67
method5,Dev5,3.6,3.1,4.4,67
method6,Dev1,3.8,4,3.6,88
method6,Dev2,3.7,4.1,3.7,88
method6,Dev3,3.8,3.9,3.6,88
method6,Dev4,3.9,4,3.8,88
method6,Dev5,3.7,4,3.5,88
method7,Dev1,4.3,4.2,4.1,80
method7,Dev2,4.2,4.1,4.3,80
method7,Dev3,4.4,4,4.2,80
method7,Dev4,4.1,4.3,4.1,80
method7,Dev5,4.2,4.2,4.1,80
method8,Dev1,2.9,3.2,3.5,75
method8,Dev2,3,3.3,3.6,75
method8,Dev3,2.8,3.1,3.4,75
method8,Dev4,3.1,3.3,3.5,75
method8,Dev5,3,3.2,3.6,75
method9,Dev1,3.9,4,3.8,45
method9,Dev2,4,3.9,3.9,45
method9,Dev3,3.8,4,3.7,45
method9,Dev4,3.9,4.1,3.8,45
method9,Dev5,4,4,3.9,45
method10,Dev1,2.6,3,3.2,35
method10,Dev2,2.7,3.1,3.3,35
method10,Dev3,2.5,3,3.1,35
method10,Dev4,2.8,3.2,3.3,35
method10,Dev5,2.7,3,3.2,35
